STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,SIMILR_INDUTY_STOR_CO,STOR_CO,FRC_STOR_CO,OPBIZ_RT,OPBIZ_STOR_CO,CLSBIZ_RT,CLSBIZ_STOR_CO
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200015,세무사사무소,47.0,47.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200016,당구장,17.0,17.0,0.0,0.0,0.0,6.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200017,골프연습장,9.0,9.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200019,PC방,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200021,기타오락장,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200022,복권방,8.0,8.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200023,통신기기수리,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200024,스포츠클럽,20.0,20.0,0.0,0.0,0.0,5.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200025,자동차수리,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200026,자동차미용,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200028,미용실,85.0,59.0,26.0,6.0,5.0,1.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200029,네일숍,18.0,18.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200030,피부관리실,72.0,70.0,2.0,4.0,3.0,3.0,2.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200031,세탁소,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200032,가전제품수리,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200033,부동산중개업,168.0,168.0,0.0,1.0,1.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200034,여관,67.0,65.0,2.0,3.0,2.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200035,게스트하우스,20.0,18.0,2.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200037,노래방,8.0,8.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200038,독서실,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200039,DVD방,7.0,7.0,0.0,14.0,1.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200041,사진관,17.0,17.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200042,통번역서비스,17.0,17.0,0.0,0.0,0.0,0.0,0.0
